iter	Passed	Remaining
725	601531	227024
726	602369	226199
727	603217	225377
728	604053	224552
729	604894	223728
730	605735	222903
731	606506	222054
732	607427	221259
733	608243	220426
734	609040	219586
735	609838	218746
736	610871	217990
737	611763	217184
738	612682	216387
739	613567	215577
740	614448	214766
741	615282	213939
742	616077	213098
743	616885	212261
744	617739	211441
745	618579	210615
746	619362	209770
747	620166	208933
748	621027	208114
749	621851	207283
750	622689	206457
751	623569	205645
752	624407	204818
753	625291	204007
754	626117	203177
755	626951	202349
756	627924	201566
757	628792	200749
758	629631	199922
759	630416	199078
760	631268	198256
761	632206	197460
762	633063	196639
763	634013	195847
764	634881	195028
765	635836	194237
766	636791	193445
767	637722	192645
768	638570	191820
769	639467	191009
770	640350	190194
771	641281	189393
772	642158	188576
773	643043	187762
774	643936	186949
775	644811	186131
776	645669	185308
777	646603	184506
778	647621	183728
779	648671	182958
780	649673	182174
781	650542	181353
782	651492	180554
783	652457	179758
784	653428	178964
785	654375	178163
786	655291	177353
787	656137	176524
788	656956	175687
789	657861	174874
790	658703	174044
791	659627	173235
792	660518	172417
793	661356	171586
794	662211	170759
795	663062	169930
796	664015	169128
797	664938	168317
798	665798	167491
799	666595	166648
800	667499	165833
801	668416	165020
802	669237	164184
803	670231	163389
804	671123	162570
805	671994	161745
806	672791	160902
807	673681	160082
808	674580	159264
809	675441	158436
810	676351	157620
811	677309	156815
812	678138	155980
813	679051	155164
814	679922	154338
815	680736	153499
816	681632	152679
817	682492	151850
818	683396	151031
819	684313	150215
820	685240	149400
821	686130	148578
822	686979	147746
823	687869	146923
824	688740	146096
825	689541	145254
826	690403	144425
827	691200	143582
828	691988	142738
829	692938	141927
830	693860	141109
831	694653	140266
832	695536	139441
833	696366	138605
834	697124	137755
835	698027	136933
836	699063	136137
837	699822	135287
838	700417	134406
839	701188	133559
840	701777	132678
841	702314	131788
842	703234	130970
843	704061	130134
844	704925	129305
845	705692	128459
846	706587	127636
847	707489	126814
848	708401	125993
849	709233	125158
850	710068	124324
851	710842	123479
852	711812	122668
853	712678	121839
854	713497	121002
855	714305	120163
856	715238	119345
857	716058	118508
858	716916	117677
859	717837	116857
860	718696	116026
861	719569	115197
862	720353	114355
863	721200	113522
864	722029	112686
865	722846	111849
866	723728	111021
867	724553	110185
868	725342	109343
869	725985	108480
870	726824	107646
871	727598	106803
872	728483	105976
873	729366	105149
874	730211	104315
875	731056	103482
876	731923	102652
877	732713	101812
878	733565	100980
879	734397	100145
880	735376	99330
881	736255	98501
882	737155	97675
883	737997	96841
884	738889	96013
885	739671	95172
886	740437	94328
887	741195	93484
888	742052	92652
889	742954	91825
890	743823	90995
891	744679	90162
892	745508	89327
893	746329	88490
894	747271	87668
895	748168	86840
896	748953	86000
897	749694	85154
898	750581	84325
899	751426	83491
900	752281	82659
901	753126	81825
902	754012	80995
903	754879	80164
904	755726	79330
905	756535	78492
906	757508	77671
907	758371	76839
908	759318	76015
909	760225	75187
910	761142	74359
911	762110	73536
912	762984	72704
913	763850	71872
914	764783	71045
915	765799	70226
916	766809	69405
917	767661	68571
918	768540	67738
919	769466	66910
920	770345	66077
921	771247	65246
922	772137	64414
923	773112	63589
924	774077	62763
925	774989	61932
926	775820	61094
927	776886	60275
928	777752	59440
929	778603	58604
930	779542	57774
931	780705	56961
932	781619	56129
933	782471	55292
934	783245	54450
935	784248	53623
936	785104	52787
937	786063	51957
938	786890	51118
939	787846	50288
940	788737	49453
941	789661	48620
942	790502	47782
943	791504	46953
944	792418	46119
945	793276	45282
946	794224	44449
947	795069	43611
948	795970	42776
949	796936	41944
950	797848	41108
951	798807	40276
952	799650	39437
953	800504	38598
954	801346	37759
955	802215	36922
956	803165	36087
957	804109	35253
958	805117	34421
959	806035	33584
960	806903	32746
961	807833	31910
962	808755	31073
963	809551	30232
964	810452	29394
965	811415	28559
966	812287	27720
967	813149	26880
968	814053	26042
969	815004	25206
970	815934	24368
971	816784	23528
972	817595	22687
973	818469	21848
974	819423	21010
975	820335	20172
976	821096	19329
977	822164	18494
978	822908	17651
979	823952	16815
980	824558	15970
981	825110	15124
982	826156	14287
983	827100	13448
984	828008	12609
985	828878	11769
986	829524	10925
987	830198	10083
988	830785	9240
989	831397	8397
990	832262	7558
991	833088	6718
992	833909	5878
993	834842	5039
994	835720	4199
995	836617	3359
996	837485	2520
997	838423	1680
998	839020	839
999	839610	0
